img1,img2,img1_folder,img1_feature_path,img2_folder,img2_feature_path,cosine_similarity
data\10\661.png,data\3\231.png,1,demo/pair/0_3\data_10_661.npy,2,demo/pair/0_3\data_3_231.npy,0.33022475242614746
data\10\661.png,data\3\260.png,1,demo/pair/0_3\data_10_661.npy,2,demo/pair/0_3\data_3_260.npy,0.3138382136821747
data\10\661.png,data\3\311.png,1,demo/pair/0_3\data_10_661.npy,2,demo/pair/0_3\data_3_311.npy,0.29153165221214294
data\10\661.png,data\3\252.png,1,demo/pair/0_3\data_10_661.npy,2,demo/pair/0_3\data_3_252.npy,0.27675026655197144
data\10\661.png,data\3\239.png,1,demo/pair/0_3\data_10_661.npy,2,demo/pair/0_3\data_3_239.npy,0.313873827457428
data\10\657.png,data\3\231.png,1,demo/pair/0_3\data_10_657.npy,2,demo/pair/0_3\data_3_231.npy,0.2906021177768707
data\10\657.png,data\3\260.png,1,demo/pair/0_3\data_10_657.npy,2,demo/pair/0_3\data_3_260.npy,0.28860530257225037
data\10\657.png,data\3\311.png,1,demo/pair/0_3\data_10_657.npy,2,demo/pair/0_3\data_3_311.npy,0.2450094223022461
data\10\657.png,data\3\252.png,1,demo/pair/0_3\data_10_657.npy,2,demo/pair/0_3\data_3_252.npy,0.24994713068008423
data\10\657.png,data\3\239.png,1,demo/pair/0_3\data_10_657.npy,2,demo/pair/0_3\data_3_239.npy,0.2764151692390442
data\10\555.png,data\3\231.png,1,demo/pair/0_3\data_10_555.npy,2,demo/pair/0_3\data_3_231.npy,0.26057106256484985
data\10\555.png,data\3\260.png,1,demo/pair/0_3\data_10_555.npy,2,demo/pair/0_3\data_3_260.npy,0.2675842344760895
data\10\555.png,data\3\311.png,1,demo/pair/0_3\data_10_555.npy,2,demo/pair/0_3\data_3_311.npy,0.2812611758708954
data\10\555.png,data\3\252.png,1,demo/pair/0_3\data_10_555.npy,2,demo/pair/0_3\data_3_252.npy,0.23285001516342163
data\10\555.png,data\3\239.png,1,demo/pair/0_3\data_10_555.npy,2,demo/pair/0_3\data_3_239.npy,0.27125635743141174
data\10\659.png,data\3\231.png,1,demo/pair/0_3\data_10_659.npy,2,demo/pair/0_3\data_3_231.npy,0.316689133644104
data\10\659.png,data\3\260.png,1,demo/pair/0_3\data_10_659.npy,2,demo/pair/0_3\data_3_260.npy,0.310103178024292
data\10\659.png,data\3\311.png,1,demo/pair/0_3\data_10_659.npy,2,demo/pair/0_3\data_3_311.npy,0.2852497696876526
data\10\659.png,data\3\252.png,1,demo/pair/0_3\data_10_659.npy,2,demo/pair/0_3\data_3_252.npy,0.2737658619880676
data\10\659.png,data\3\239.png,1,demo/pair/0_3\data_10_659.npy,2,demo/pair/0_3\data_3_239.npy,0.30734407901763916
data\10\535.png,data\3\231.png,1,demo/pair/0_3\data_10_535.npy,2,demo/pair/0_3\data_3_231.npy,0.2644991874694824
data\10\535.png,data\3\260.png,1,demo/pair/0_3\data_10_535.npy,2,demo/pair/0_3\data_3_260.npy,0.27878960967063904
data\10\535.png,data\3\311.png,1,demo/pair/0_3\data_10_535.npy,2,demo/pair/0_3\data_3_311.npy,0.259964257478714
data\10\535.png,data\3\252.png,1,demo/pair/0_3\data_10_535.npy,2,demo/pair/0_3\data_3_252.npy,0.2302636057138443
data\10\535.png,data\3\239.png,1,demo/pair/0_3\data_10_535.npy,2,demo/pair/0_3\data_3_239.npy,0.2743065655231476
