img1,img2,img1_folder,img1_feature_path,img2_folder,img2_feature_path,cosine_similarity
data\3\291.png,data\5\50.png,1,demo/pair/3_5\data_3_291.npy,2,demo/pair/3_5\data_5_50.npy,0.21153119206428528
data\3\291.png,data\5\176.png,1,demo/pair/3_5\data_3_291.npy,2,demo/pair/3_5\data_5_176.npy,0.27105358242988586
data\3\291.png,data\5\208.png,1,demo/pair/3_5\data_3_291.npy,2,demo/pair/3_5\data_5_208.npy,0.259262353181839
data\3\291.png,data\5\139.png,1,demo/pair/3_5\data_3_291.npy,2,demo/pair/3_5\data_5_139.npy,0.25696057081222534
data\3\291.png,data\5\309.png,1,demo/pair/3_5\data_3_291.npy,2,demo/pair/3_5\data_5_309.npy,0.30108553171157837
data\3\284.png,data\5\50.png,1,demo/pair/3_5\data_3_284.npy,2,demo/pair/3_5\data_5_50.npy,0.19601652026176453
data\3\284.png,data\5\176.png,1,demo/pair/3_5\data_3_284.npy,2,demo/pair/3_5\data_5_176.npy,0.2637527883052826
data\3\284.png,data\5\208.png,1,demo/pair/3_5\data_3_284.npy,2,demo/pair/3_5\data_5_208.npy,0.26012155413627625
data\3\284.png,data\5\139.png,1,demo/pair/3_5\data_3_284.npy,2,demo/pair/3_5\data_5_139.npy,0.261478453874588
data\3\284.png,data\5\309.png,1,demo/pair/3_5\data_3_284.npy,2,demo/pair/3_5\data_5_309.npy,0.2794590890407562
data\3\239.png,data\5\50.png,1,demo/pair/3_5\data_3_239.npy,2,demo/pair/3_5\data_5_50.npy,0.23890717327594757
data\3\239.png,data\5\176.png,1,demo/pair/3_5\data_3_239.npy,2,demo/pair/3_5\data_5_176.npy,0.3076878488063812
data\3\239.png,data\5\208.png,1,demo/pair/3_5\data_3_239.npy,2,demo/pair/3_5\data_5_208.npy,0.2868954837322235
data\3\239.png,data\5\139.png,1,demo/pair/3_5\data_3_239.npy,2,demo/pair/3_5\data_5_139.npy,0.27396073937416077
data\3\239.png,data\5\309.png,1,demo/pair/3_5\data_3_239.npy,2,demo/pair/3_5\data_5_309.npy,0.3219950497150421
data\3\260.png,data\5\50.png,1,demo/pair/3_5\data_3_260.npy,2,demo/pair/3_5\data_5_50.npy,0.24243015050888062
data\3\260.png,data\5\176.png,1,demo/pair/3_5\data_3_260.npy,2,demo/pair/3_5\data_5_176.npy,0.3021329343318939
data\3\260.png,data\5\208.png,1,demo/pair/3_5\data_3_260.npy,2,demo/pair/3_5\data_5_208.npy,0.28693312406539917
data\3\260.png,data\5\139.png,1,demo/pair/3_5\data_3_260.npy,2,demo/pair/3_5\data_5_139.npy,0.27850276231765747
data\3\260.png,data\5\309.png,1,demo/pair/3_5\data_3_260.npy,2,demo/pair/3_5\data_5_309.npy,0.3094324767589569
data\3\305.png,data\5\50.png,1,demo/pair/3_5\data_3_305.npy,2,demo/pair/3_5\data_5_50.npy,0.21360668540000916
data\3\305.png,data\5\176.png,1,demo/pair/3_5\data_3_305.npy,2,demo/pair/3_5\data_5_176.npy,0.2727721035480499
data\3\305.png,data\5\208.png,1,demo/pair/3_5\data_3_305.npy,2,demo/pair/3_5\data_5_208.npy,0.2520170211791992
data\3\305.png,data\5\139.png,1,demo/pair/3_5\data_3_305.npy,2,demo/pair/3_5\data_5_139.npy,0.23964941501617432
data\3\305.png,data\5\309.png,1,demo/pair/3_5\data_3_305.npy,2,demo/pair/3_5\data_5_309.npy,0.2902086079120636
