img1,img2,img1_folder,img1_feature_path,img2_folder,img2_feature_path,cosine_similarity
data\2\169.png,data\8\367.png,1,demo/pair/2_8\data_2_169.npy,2,demo/pair/2_8\data_8_367.npy,0.22513237595558167
data\2\169.png,data\8\496.png,1,demo/pair/2_8\data_2_169.npy,2,demo/pair/2_8\data_8_496.npy,0.18384766578674316
data\2\169.png,data\8\372.png,1,demo/pair/2_8\data_2_169.npy,2,demo/pair/2_8\data_8_372.npy,0.23050783574581146
data\2\169.png,data\8\336.png,1,demo/pair/2_8\data_2_169.npy,2,demo/pair/2_8\data_8_336.npy,0.19107680022716522
data\2\169.png,data\8\482.png,1,demo/pair/2_8\data_2_169.npy,2,demo/pair/2_8\data_8_482.npy,0.2263593077659607
data\2\8.png,data\8\367.png,1,demo/pair/2_8\data_2_8.npy,2,demo/pair/2_8\data_8_367.npy,0.1729094684123993
data\2\8.png,data\8\496.png,1,demo/pair/2_8\data_2_8.npy,2,demo/pair/2_8\data_8_496.npy,0.14173536002635956
data\2\8.png,data\8\372.png,1,demo/pair/2_8\data_2_8.npy,2,demo/pair/2_8\data_8_372.npy,0.17083968222141266
data\2\8.png,data\8\336.png,1,demo/pair/2_8\data_2_8.npy,2,demo/pair/2_8\data_8_336.npy,0.16905219852924347
data\2\8.png,data\8\482.png,1,demo/pair/2_8\data_2_8.npy,2,demo/pair/2_8\data_8_482.npy,0.17688173055648804
data\2\183.png,data\8\367.png,1,demo/pair/2_8\data_2_183.npy,2,demo/pair/2_8\data_8_367.npy,0.2752123177051544
data\2\183.png,data\8\496.png,1,demo/pair/2_8\data_2_183.npy,2,demo/pair/2_8\data_8_496.npy,0.23728777468204498
data\2\183.png,data\8\372.png,1,demo/pair/2_8\data_2_183.npy,2,demo/pair/2_8\data_8_372.npy,0.27890294790267944
data\2\183.png,data\8\336.png,1,demo/pair/2_8\data_2_183.npy,2,demo/pair/2_8\data_8_336.npy,0.2512853443622589
data\2\183.png,data\8\482.png,1,demo/pair/2_8\data_2_183.npy,2,demo/pair/2_8\data_8_482.npy,0.2669886350631714
data\2\222.png,data\8\367.png,1,demo/pair/2_8\data_2_222.npy,2,demo/pair/2_8\data_8_367.npy,0.3469560444355011
data\2\222.png,data\8\496.png,1,demo/pair/2_8\data_2_222.npy,2,demo/pair/2_8\data_8_496.npy,0.2879301905632019
data\2\222.png,data\8\372.png,1,demo/pair/2_8\data_2_222.npy,2,demo/pair/2_8\data_8_372.npy,0.3503699004650116
data\2\222.png,data\8\336.png,1,demo/pair/2_8\data_2_222.npy,2,demo/pair/2_8\data_8_336.npy,0.3285168409347534
data\2\222.png,data\8\482.png,1,demo/pair/2_8\data_2_222.npy,2,demo/pair/2_8\data_8_482.npy,0.3314151465892792
data\2\160.png,data\8\367.png,1,demo/pair/2_8\data_2_160.npy,2,demo/pair/2_8\data_8_367.npy,0.2070559412240982
data\2\160.png,data\8\496.png,1,demo/pair/2_8\data_2_160.npy,2,demo/pair/2_8\data_8_496.npy,0.17830972373485565
data\2\160.png,data\8\372.png,1,demo/pair/2_8\data_2_160.npy,2,demo/pair/2_8\data_8_372.npy,0.218115895986557
data\2\160.png,data\8\336.png,1,demo/pair/2_8\data_2_160.npy,2,demo/pair/2_8\data_8_336.npy,0.19989147782325745
data\2\160.png,data\8\482.png,1,demo/pair/2_8\data_2_160.npy,2,demo/pair/2_8\data_8_482.npy,0.2248189002275467
