img1,img2,img1_folder,img1_feature_path,img2_folder,img2_feature_path,cosine_similarity
data\4\117.png,data\7\334.png,1,demo/pair/4_7\data_4_117.npy,2,demo/pair/4_7\data_7_334.npy,0.7222374081611633
data\4\117.png,data\7\377.png,1,demo/pair/4_7\data_4_117.npy,2,demo/pair/4_7\data_7_377.npy,0.6989254951477051
data\4\117.png,data\7\358.png,1,demo/pair/4_7\data_4_117.npy,2,demo/pair/4_7\data_7_358.npy,0.7172520756721497
data\4\117.png,data\7\383.png,1,demo/pair/4_7\data_4_117.npy,2,demo/pair/4_7\data_7_383.npy,0.6093202829360962
data\4\117.png,data\7\229.png,1,demo/pair/4_7\data_4_117.npy,2,demo/pair/4_7\data_7_229.npy,0.8690846562385559
data\4\22.png,data\7\334.png,1,demo/pair/4_7\data_4_22.npy,2,demo/pair/4_7\data_7_334.npy,0.574470043182373
data\4\22.png,data\7\377.png,1,demo/pair/4_7\data_4_22.npy,2,demo/pair/4_7\data_7_377.npy,0.6005625128746033
data\4\22.png,data\7\358.png,1,demo/pair/4_7\data_4_22.npy,2,demo/pair/4_7\data_7_358.npy,0.5699477791786194
data\4\22.png,data\7\383.png,1,demo/pair/4_7\data_4_22.npy,2,demo/pair/4_7\data_7_383.npy,0.5059357285499573
data\4\22.png,data\7\229.png,1,demo/pair/4_7\data_4_22.npy,2,demo/pair/4_7\data_7_229.npy,0.7099493145942688
data\4\44.png,data\7\334.png,1,demo/pair/4_7\data_4_44.npy,2,demo/pair/4_7\data_7_334.npy,0.6571263074874878
data\4\44.png,data\7\377.png,1,demo/pair/4_7\data_4_44.npy,2,demo/pair/4_7\data_7_377.npy,0.6088561415672302
data\4\44.png,data\7\358.png,1,demo/pair/4_7\data_4_44.npy,2,demo/pair/4_7\data_7_358.npy,0.6618565320968628
data\4\44.png,data\7\383.png,1,demo/pair/4_7\data_4_44.npy,2,demo/pair/4_7\data_7_383.npy,0.5351113080978394
data\4\44.png,data\7\229.png,1,demo/pair/4_7\data_4_44.npy,2,demo/pair/4_7\data_7_229.npy,0.7925927042961121
data\4\189.png,data\7\334.png,1,demo/pair/4_7\data_4_189.npy,2,demo/pair/4_7\data_7_334.npy,0.7734978795051575
data\4\189.png,data\7\377.png,1,demo/pair/4_7\data_4_189.npy,2,demo/pair/4_7\data_7_377.npy,0.7720397114753723
data\4\189.png,data\7\358.png,1,demo/pair/4_7\data_4_189.npy,2,demo/pair/4_7\data_7_358.npy,0.7495493292808533
data\4\189.png,data\7\383.png,1,demo/pair/4_7\data_4_189.npy,2,demo/pair/4_7\data_7_383.npy,0.7202515006065369
data\4\189.png,data\7\229.png,1,demo/pair/4_7\data_4_189.npy,2,demo/pair/4_7\data_7_229.npy,0.8854880332946777
data\4\32.png,data\7\334.png,1,demo/pair/4_7\data_4_32.npy,2,demo/pair/4_7\data_7_334.npy,0.62891685962677
data\4\32.png,data\7\377.png,1,demo/pair/4_7\data_4_32.npy,2,demo/pair/4_7\data_7_377.npy,0.6455448269844055
data\4\32.png,data\7\358.png,1,demo/pair/4_7\data_4_32.npy,2,demo/pair/4_7\data_7_358.npy,0.6639960408210754
data\4\32.png,data\7\383.png,1,demo/pair/4_7\data_4_32.npy,2,demo/pair/4_7\data_7_383.npy,0.5959652066230774
data\4\32.png,data\7\229.png,1,demo/pair/4_7\data_4_32.npy,2,demo/pair/4_7\data_7_229.npy,0.7556032538414001
